iter,s,exp(mu),error
1,3.0667520634644694,688.0660402720611,0.20876314329881124
2,1.0919642984724245,128.6418187339852,0.2072021476722672
3,1.0919642984724245,128.6418187339852,0.19762497311827776
4,1.0919642984724245,128.6418187339852,0.1981147394819477
5,1.523249634700809,214.26512156568256,0.10053486957270098
6,0.15988347657718727,187.32230850668773,0.014756693396557392
7,0.15988347657718727,187.32230850668773,0.02359745749016194
8,0.845997390637832,204.29023849256467,0.006777167549942971
9,0.845997390637832,204.29023849256467,0.007606576102294642
10,0.845997390637832,204.29023849256467,0.010040916292848973
11,0.845997390637832,204.29023849256467,0.00793788384898645
12,0.845997390637832,204.29023849256467,0.009402127418834562
13,0.845997390637832,204.29023849256467,0.006946221994724915
14,0.7402955705299199,201.00649134253425,0.0070235318750611845
15,0.7402955705299199,201.00649134253425,0.013296616110875762
16,0.8086410724769859,204.09067341139593,0.0025709920264364904
17,0.7437290467195492,197.77246006612177,0.0059933296255086435
18,0.7437290467195492,197.77246006612177,0.006300793600809318
19,0.7437290467195492,197.77246006612177,0.002551470164434638
20,0.7649924104009465,199.25167008228095,0.004804164859785752
21,0.7649924104009465,199.25167008228095,0.006403905058634183
22,0.7649924104009465,199.25167008228095,0.002640075756488835
23,0.7649924104009465,199.25167008228095,0.0020518284528683204
24,0.7649924104009465,199.25167008228095,0.0030413812651491124
25,0.7649924104009465,199.25167008228095,0.004482186966202997
26,0.7649924104009465,199.25167008228095,0.0011747340124471154
27,0.7649924104009465,199.25167008228095,0.0014212670403551816
28,0.7649924104009465,199.25167008228095,0.010482843125793687
29,0.7649924104009465,199.25167008228095,0.0015524174696260036
30,0.7649924104009465,199.25167008228095,0.003912799509302729
31,0.7649924104009465,199.25167008228095,0.001334166406412656
32,0.7649924104009465,199.25167008228095,0.0042296571965113015
33,0.7649924104009465,199.25167008228095,0.00581377674149948
34,0.7649924104009465,199.25167008228095,0.005323532661682437
35,0.7649924104009465,199.25167008228095,0.0056053545828965694
36,0.7649924104009465,199.25167008228095,0.007877182237323165
37,0.7649924104009465,199.25167008228095,0.006113100686231164
38,0.7649924104009465,199.25167008228095,0.009291393867445279
39,0.7769026415796585,201.31161806220408,0.005656854249492374
40,0.7769026415796585,201.31161806220408,0.0016643316977093005
41,0.7769026415796585,201.31161806220408,0.0028231188426986638
42,0.7769026415796585,201.31161806220408,0.0025079872407968613
43,0.7769026415796585,201.31161806220408,0.001886796226411359
44,0.7769026415796585,201.31161806220408,0.005922837157984311
45,0.7769026415796585,201.31161806220408,0.0037363083384539266
46,0.7769026415796585,201.31161806220408,0.008828363381737338
47,0.7769026415796585,201.31161806220408,0.003902563260217586
48,0.7769026415796585,201.31161806220408,0.005578530272392503
49,0.7769026415796585,201.31161806220408,0.0016309506430300018
50,0.7769026415796585,201.31161806220408,0.006902897942168943
