iter,s,exp(mu),error
1,2.7306240710214684,945.6840510818342,0.052682624343052264
2,2.7306240710214684,945.6840510818342,0.052223444128347014
3,2.8881085114785012,760.4543463119908,0.050097181580385446
4,1.26184574245063,563.3482280109339,0.024105808032465377
5,1.1411661605047652,569.0336639791703,0.024091973120352154
6,0.9792598520359519,471.44751546098865,0.022043757589624704
7,1.2180500686045157,516.2403042125137,0.021520987241324063
8,1.2554757214268069,481.94912008353333,0.01912859149559614
9,1.2280759846927527,462.5515624991908,0.01866825309748703
10,1.2280759846927527,462.5515624991908,0.018688643799102234
11,1.1111857560858116,476.2684414185029,0.01796042290485746
12,1.1111857560858116,476.2684414185029,0.01760561759956696
13,1.128744169249039,482.7636609116748,0.018291649782368583
14,1.128744169249039,482.7636609116748,0.01850153553181852
15,1.128744169249039,482.7636609116748,0.018510668703966858
16,1.128744169249039,482.7636609116748,0.018244972684662294
17,1.128744169249039,482.7636609116748,0.018231673424536375
18,1.128744169249039,482.7636609116748,0.0188184988354865
19,1.128744169249039,482.7636609116748,0.01859642842736174
20,1.128744169249039,482.7636609116748,0.018437669811243423
21,1.128744169249039,482.7636609116748,0.017937822956148874
22,1.128744169249039,482.7636609116748,0.01886758433664972
23,1.1332256741388012,488.684202621942,0.01819929529986195
24,1.1332256741388012,488.684202621942,0.01821177829027493
25,1.1332256741388012,488.684202621942,0.01812922917942413
26,1.107053168359407,477.7583884891117,0.018337454869127433
27,1.107053168359407,477.7583884891117,0.017976222174444077
28,1.107053168359407,477.7583884891117,0.01909606590992922
29,1.107053168359407,477.7583884891117,0.018523266028490033
30,1.107053168359407,477.7583884891117,0.018172329035627918
31,1.107053168359407,477.7583884891117,0.017588338284694312
32,1.107053168359407,477.7583884891117,0.01905991421055702
33,1.107053168359407,477.7583884891117,0.018021626512351303
34,1.107053168359407,477.7583884891117,0.018282208222750375
35,1.107053168359407,477.7583884891117,0.018547441187124224
36,1.107053168359407,477.7583884891117,0.0185169018690212
37,1.107053168359407,477.7583884891117,0.01863236327864263
38,1.1343335414261961,476.4819058365753,0.018191396567692503
39,1.1343335414261961,476.4819058365753,0.019342133498726082
40,1.1343335414261961,476.4819058365753,0.018470105571912657
41,1.1343335414261961,476.4819058365753,0.01707618456186846
42,1.1343335414261961,476.4819058365753,0.01826076165407881
43,1.1343335414261961,476.4819058365753,0.017988427848612938
44,1.1343335414261961,476.4819058365753,0.018156215939992212
45,1.1343335414261961,476.4819058365753,0.01836668345096475
46,1.1343335414261961,476.4819058365753,0.01904292791894571
47,1.1343335414261961,476.4819058365753,0.017938390149838855
48,1.1343335414261961,476.4819058365753,0.018199870279885847
49,1.1343335414261961,476.4819058365753,0.018118034620347577
50,1.1343335414261961,476.4819058365753,0.01843389760815282
