flow_id,s,exp(mu),error
0,1.1343335414261961,476.4819058365753,0.017547759306858396
1,1.1294363954424842,406.5964747149857,0.018996493126355478
2,0.547702254662271,586.4553453262998,0.0004964970790132886
3,0.5143187466688115,575.8838670981313,0.0009743038049298595
4,0.6016706456979168,531.2240470178514,0.0004457044596598108
5,1.4555376601125065,216.53270768006016,0.0006023898645708621
6,1.44362109759337,184.54348588376618,0.003876372491168479
