iter,s,exp(mu),error
1,1.5851326385887905,472.02421057987976,0.05984361129206893
2,2.1680453058238776,154.00412466922148,0.02825597874357636
3,2.1249808081890382,119.13317225236814,0.026036243370172414
4,1.409464556008034,270.7662622159872,0.013390495099441716
5,1.6074604935561538,159.06383705871264,0.012915371158262762
6,1.6074604935561538,159.06383705871264,0.011619990470379926
7,1.4708475434973458,201.70289714147012,0.003279964992601218
8,1.4708475434973458,201.70289714147012,0.0042755481913527085
9,1.4708475434973458,201.70289714147012,0.004893523885437339
10,1.4708475434973458,201.70289714147012,0.008296053882283348
11,1.3847300275701535,233.22538211643095,0.0029034639440195273
12,1.4865657190670465,212.79992055250497,0.002721962495364513
13,1.4865657190670465,212.79992055250497,0.0010172054231370796
14,1.4865657190670465,212.79992055250497,0.0011678768946479518
15,1.4622571374211244,208.2078408265965,0.003067041475614679
16,1.4638978340655804,213.24513193390885,0.0008761894012820743
17,1.4638978340655804,213.24513193390885,0.0020746112065824964
18,1.4638978340655804,213.24513193390885,0.0011634993033620977
19,1.4638978340655804,213.24513193390885,0.0028384826663398607
20,1.4638978340655804,213.24513193390885,0.0008152378889223335
21,1.4638978340655804,213.24513193390885,0.0018724261846149147
22,1.4638978340655804,213.24513193390885,0.00045154646801270367
23,1.4638978340655804,213.24513193390885,0.002380985690518001
24,1.4638978340655804,213.24513193390885,0.0012013871631512203
25,1.4638978340655804,213.24513193390885,0.0005637935387622148
26,1.4638978340655804,213.24513193390885,0.001630517016873225
27,1.4625252558221415,218.04967356023045,0.0005650505553033466
28,1.4625252558221415,218.04967356023045,0.0024649002298783086
29,1.4625252558221415,218.04967356023045,0.00048774841300689017
30,1.4625252558221415,218.04967356023045,0.00038721254251664283
31,1.4625252558221415,218.04967356023045,0.0007267799602441198
32,1.4625252558221415,218.04967356023045,0.0024485829236582136
33,1.4625252558221415,218.04967356023045,0.0007432740989298891
34,1.4625252558221415,218.04967356023045,0.0010257712247254795
35,1.4349278118390245,217.9094327515769,0.0018977500457734106
36,1.4349278118390245,217.9094327515769,0.0018154693838712673
37,1.4349278118390245,217.9094327515769,0.001516292247916581
38,1.4349278118390245,217.9094327515769,0.0011369822595282814
39,1.4555376601125065,216.53270768006016,0.0009391323033223553
40,1.4555376601125065,216.53270768006016,0.002306223309297008
41,1.4555376601125065,216.53270768006016,0.0017312567920053762
42,1.4555376601125065,216.53270768006016,0.0009867852049492362
43,1.4555376601125065,216.53270768006016,0.0014259462959213963
44,1.4555376601125065,216.53270768006016,0.0008266559914741595
45,1.4555376601125065,216.53270768006016,0.0010178184674333893
46,1.4555376601125065,216.53270768006016,0.0013057234756210993
47,1.4555376601125065,216.53270768006016,0.0008451600654768865
48,1.4555376601125065,216.53270768006016,0.001296043888686835
49,1.4555376601125065,216.53270768006016,0.0005391386538348849
50,1.4555376601125065,216.53270768006016,0.0014279519700100475
