iter,s,exp(mu),error
1,3.5360248932742717,503.2767704916617,0.3686879574925115
2,3.12026032085061,1057.4241031376325,0.3358189839779758
3,2.235987008195359,587.0221878787019,0.2573281756823375
4,1.3229584466857567,352.15741859908934,0.15430243031138557
5,1.3229584466857567,352.15741859908934,0.14540230397074178
6,1.3229584466857567,352.15741859908934,0.1512280066654322
7,1.0811135983480469,404.8805543604273,0.10130266531538053
8,1.0811135983480469,404.8805543604273,0.10277830510375233
9,1.0811135983480469,404.8805543604273,0.10536764209186804
10,1.0811135983480469,404.8805543604273,0.1035805000953365
11,1.0707933809008896,404.8805543604273,0.10521411502265278
12,1.0521526351463972,390.3769947485747,0.10885775121689774
13,1.0521526351463972,390.3769947485747,0.10799486098884523
14,0.9781494645117004,383.34329712741004,0.10968103755891448
15,1.0460071491693448,393.52215910607697,0.10462509259255165
16,1.0460071491693448,393.52215910607697,0.10368948837755929
17,1.0460071491693448,393.52215910607697,0.11088908873284158
18,1.019068635259897,388.5873039890577,0.10674394596416231
19,1.019068635259897,388.5873039890577,0.11006339082546936
20,1.0289230059647636,395.71022429141715,0.11339016712219807
21,1.0424982323460696,408.48445289441634,0.10898210862338828
22,1.0424982323460696,408.48445289441634,0.10905773700201198
23,1.0424982323460696,408.48445289441634,0.10471456441202441
24,1.0021998414078084,396.3983470093601,0.10142716598623865
25,1.0021998414078084,396.3983470093601,0.10429362396618508
26,1.0021998414078084,396.3983470093601,0.10647732152904676
27,1.0021998414078084,396.3983470093601,0.10163832938414524
28,1.0021998414078084,396.3983470093601,0.10351840416080617
29,1.0021998414078084,396.3983470093601,0.1000918578107131
30,1.0164785536028447,390.99198093122476,0.1089426454608112
31,1.0164785536028447,390.99198093122476,0.1103193999258517
32,1.0164785536028447,390.99198093122476,0.10551293759534901
33,1.0164785536028447,390.99198093122476,0.10572577736767892
34,1.0164785536028447,390.99198093122476,0.10383144995616703
35,1.0164785536028447,390.99198093122476,0.1060753034405276
36,1.0164785536028447,390.99198093122476,0.10631157039570062
37,1.0164785536028447,390.99198093122476,0.10473299384625655
38,1.0164785536028447,390.99198093122476,0.10841503585757835
39,1.0164785536028447,390.99198093122476,0.10419088251857744
40,1.0164785536028447,390.99198093122476,0.09928781395518789
41,1.0164785536028447,390.99198093122476,0.10590684585993487
42,1.0164785536028447,390.99198093122476,0.10203205378703306
43,1.0164785536028447,390.99198093122476,0.10565405813313566
44,1.0164785536028447,390.99198093122476,0.09576523377510239
45,1.0164785536028447,390.99198093122476,0.10391010537960207
46,1.0164785536028447,390.99198093122476,0.09857687355561652
47,1.0164785536028447,390.99198093122476,0.10209133165945095
48,1.0164785536028447,390.99198093122476,0.10598627269604309
49,1.0164785536028447,390.99198093122476,0.10247814401129639
50,1.0164785536028447,390.99198093122476,0.10980227684342436
