iter,s,exp(mu),error
1,2.420189921555707,12.219983475972986,0.1230968985247587
2,1.5751578596588,23.579485267437608,0.09614432258723561
3,1.5751578596588,23.579485267437608,0.09736495083459508
4,1.0963257934338486,11.880956913159974,0.06307078721209185
5,0.7052210228053681,19.967900053155002,0.023458911098516687
6,0.7052210228053681,19.967900053155002,0.02062189670024976
7,0.7052210228053681,19.967900053155002,0.022668590476115795
8,0.7052210228053681,19.967900053155002,0.02340161972635634
9,0.7052210228053681,19.967900053155002,0.021611074060705115
10,0.7052210228053681,19.967900053155002,0.023895444507675813
11,0.7588607139140393,19.84665066693808,0.020372899869141117
12,0.7588607139140393,19.84665066693808,0.01980220947695586
13,0.7588607139140393,19.84665066693808,0.021341335072454688
14,0.7597828883506299,20.48062512789541,0.02404014996253817
15,0.7597828883506299,20.48062512789541,0.021288090189227133
16,0.7597828883506299,20.48062512789541,0.02340797469280391
17,0.7597828883506299,20.48062512789541,0.02005239190957398
18,0.7597828883506299,20.48062512789541,0.021023779469461212
19,0.7597828883506299,20.48062512789541,0.020072017261629098
20,0.7597828883506299,20.48062512789541,0.019071184107031913
21,0.7597828883506299,20.48062512789541,0.020401827049966265
22,0.7597828883506299,20.48062512789541,0.021784371068937613
23,0.7597828883506299,20.48062512789541,0.01804149640860272
24,0.7597828883506299,20.48062512789541,0.020275170573090705
25,0.7597828883506299,20.48062512789541,0.02104524270287311
26,0.7597828883506299,20.48062512789541,0.019664291766940765
27,0.7490580933130673,20.373576336996443,0.020470688932673422
28,0.7490580933130673,20.373576336996443,0.022346701203378175
29,0.7490580933130673,20.373576336996443,0.019683932713646206
30,0.7490580933130673,20.373576336996443,0.01905160464721599
31,0.7490580933130673,20.373576336996443,0.020067885282955694
32,0.7490580933130673,20.373576336996443,0.022399909441070353
33,0.7490580933130673,20.373576336996443,0.019790728594384344
34,0.7490580933130673,20.373576336996443,0.020230021861529394
35,0.7490580933130673,20.373576336996443,0.02127212803121413
36,0.7490580933130673,20.373576336996443,0.02050706073304645
37,0.7490580933130673,20.373576336996443,0.018982552251339428
38,0.7490580933130673,20.373576336996443,0.020862516268372898
39,0.7490580933130673,20.373576336996443,0.020084107917711844
40,0.7490580933130673,20.373576336996443,0.022705630105022113
41,0.7490580933130673,20.373576336996443,0.020762561164931793
42,0.7490580933130673,20.373576336996443,0.023572363321924687
43,0.7490580933130673,20.373576336996443,0.019155943526285406
44,0.7729832192705004,19.8351331586643,0.02172384724815211
45,0.7729832192705004,19.8351331586643,0.02053690301924667
46,0.7729832192705004,19.8351331586643,0.02209233719073785
47,0.7729832192705004,19.8351331586643,0.020920416355698856
48,0.7729832192705004,19.8351331586643,0.021652876845700147
49,0.7729832192705004,19.8351331586643,0.020807061020184727
50,0.7729832192705004,19.8351331586643,0.01962200232717476
